username,appid,similarity
admin_username,10,1.0000000000000002
admin_username,20,0.6666666666666669
admin_username,30,0.6666666666666669
admin_username,40,0.6666666666666669
admin_username,50,0.6666666666666669
admin_username,60,0.6666666666666669
admin_username,70,0.6666666666666669
admin_username,10,0.6666666666666669
admin_username,20,0.6666666666666669
admin_username,30,0.6666666666666669
admin_username,40,0.6666666666666669
admin_username,50,0.6666666666666669
admin_username,60,0.6666666666666669
admin_username,70,0.6666666666666669
admin_username,10,0.6666666666666669
admin_username,20,0.6666666666666669
admin_username,30,0.6666666666666669
admin_username,40,0.6666666666666669
admin_username,50,0.6666666666666669
admin_username,60,0.6666666666666669
user_username,10,1.0000000000000002
user_username,20,0.6666666666666669
user_username,30,0.6666666666666669
user_username,40,0.6666666666666669
user_username,50,0.6666666666666669
user_username,60,0.6666666666666669
user_username,70,0.6666666666666669
user_username,10,0.6666666666666669
user_username,20,0.6666666666666669
user_username,30,0.6666666666666669
user_username,40,0.6666666666666669
user_username,50,0.6666666666666669
user_username,60,0.6666666666666669
user_username,70,0.6666666666666669
user_username,10,0.6666666666666669
user_username,20,0.6666666666666669
user_username,30,0.6666666666666669
user_username,40,0.6666666666666669
user_username,50,0.6666666666666669
user_username,60,0.6666666666666669
